time,open,high,low,close,volume
2021-01-01 01:00:00,29066.58,29545.0,29034.37,29487.95,2354.20080831
2021-01-01 02:00:00,29490.29,29539.86,29162.21,29249.05,1250.8757429
2021-01-01 03:00:00,29249.05,29417.61,29225.76,29358.3,628.96425241
2021-01-01 04:00:00,29358.3,29465.0,29133.53,29290.52,928.60649963
2021-01-01 05:00:00,29287.95,29305.32,29148.6,29240.79,860.83258243
2021-01-01 06:00:00,29246.06,29320.04,29158.93,29233.94,977.01031258
2021-01-01 07:00:00,29233.93,29234.87,28900.0,29166.41,1269.89735715
2021-01-01 08:00:00,29166.41,29246.63,28928.16,29074.87,850.29254538
2021-01-01 09:00:00,29071.63,29386.28,29039.15,29280.43,517.12304541
2021-01-01 10:00:00,29280.43,29419.83,29233.49,29314.62,453.74523055
2021-01-01 11:00:00,29307.17,29490.0,29301.48,29391.06,451.82067569
2021-01-01 12:00:00,29391.05,29688.88,29226.42,29317.09,1112.40544701
2021-01-01 13:00:00,29314.93,29558.7,29300.0,29545.15,665.0537004
2021-01-01 14:00:00,29545.15,29634.83,29353.55,29404.92,799.1848914
2021-01-01 15:00:00,29404.78,29475.83,29100.0,29262.05,928.30114346
2021-01-01 16:00:00,29260.78,29436.72,29200.0,29382.22,808.15634457
2021-01-01 17:00:00,29382.22,29418.57,29016.69,29161.43,1083.79365442
2021-01-01 18:00:00,29161.39,29341.36,28700.0,29145.76,1665.72700984
2021-01-01 19:00:00,29145.76,29200.0,29027.5,29116.99,815.69386329
2021-01-01 20:00:00,29116.93,29368.83,28958.0,29295.98,879.42714243
2021-01-01 21:00:00,29289.62,29375.0,29208.18,29253.63,622.80092207
2021-01-01 22:00:00,29244.43,29409.0,29192.85,29354.92,517.11241976
2021-01-01 23:00:00,29354.92,29417.95,29318.24,29412.84,497.3360571
2021-01-02 00:00:00,29413.29,29413.33,29039.0,29273.94,808.65502553
2021-01-02 01:00:00,29273.93,29495.59,29186.83,29455.05,599.92892407
2021-01-02 02:00:00,29455.05,29561.73,29404.27,29413.66,1260.46246975
2021-01-02 03:00:00,29413.66,29461.83,29340.13,29440.01,550.15010289
2021-01-02 04:00:00,29440.01,29477.11,29301.51,29440.0,570.37651942
2021-01-02 05:00:00,29439.99,29683.5,29439.99,29683.03,698.53578407
2021-01-02 06:00:00,29683.02,29822.0,29550.03,29799.98,937.22087566
2021-01-02 07:00:00,29800.64,29887.0,29725.01,29837.78,614.8609252
2021-01-02 08:00:00,29837.77,29929.44,29720.12,29911.15,618.37393884
2021-01-02 09:00:00,29911.14,29969.99,29639.14,29691.36,840.82171688
2021-01-02 10:00:00,29690.16,29890.0,29550.0,29752.49,585.88477371
2021-01-02 11:00:00,29751.39,29847.89,29704.16,29829.72,426.22618616
2021-01-02 12:00:00,29829.71,30944.0,29805.14,30645.08,3102.63722809
2021-01-02 13:00:00,30645.07,31600.0,30572.28,31600.0,2585.94714116
2021-01-02 14:00:00,31599.99,31623.0,31100.0,31350.89,2061.39018882
2021-01-02 15:00:00,31350.89,31898.0,31304.36,31802.45,2387.96257634
