time,low,high,open,close,volume,pred_high6,pred_future_returns6,pred_signals6,future_returns6,signals6,retOpen,signals_compare,signals_backtesting,pred_signals_backtesting
2021-12-22 01:00:00,48615.49,48867.64,48666.46,48840.43,282.88128737,49648.60311850608,-0.0011680448437565438,0,0.01488428743438397,1,,0,True,False
2021-12-22 02:00:00,48744.86,49595.0,48840.43,49354.17,817.05604902,49590.61132363379,0.0016577222057942986,1,-0.0028819437443290408,0,0.01488428743438397,0,False,True
2021-12-22 03:00:00,49173.2,49452.07,49353.93,49273.18,339.20659835,49672.8187812239,0.0016866347688082595,1,-0.002145107373665134,0,-0.0028819437443290408,0,False,True
2021-12-22 04:00:00,49096.52,49345.99,49273.19,49335.85,402.22080232,49756.59868444502,0.001955420506872807,1,0.0001734690093360136,1,-0.002145107373665134,0,True,True
2021-12-22 05:00:00,48950.0,49354.55,49339.0,48993.53,344.84196078,49853.89375786483,-0.00015683801827515165,0,-0.00230171281067304,0,0.0001734690093360136,0,False,False
2021-12-22 06:00:00,48954.26,49240.95,48998.06,49084.63,314.85770634,49846.07477196455,-0.0005403045810252749,0,0.001709146553833918,1,-0.00230171281067304,0,True,False
2021-12-22 07:00:00,49082.65,49325.11,49082.65,49230.36,336.62985423,49819.14270941913,0.0002379856298833083,1,0.004660709322290346,1,0.001709146553833918,0,True,True
2021-12-22 08:00:00,49141.52,49555.0,49230.36,49290.61,351.70520657,49830.99894947708,0.0015354152014750433,1,-0.004170114014731108,0,0.004660709322290346,0,False,True
2021-12-22 09:00:00,48852.38,49348.35,49286.19,48955.31,402.93728483,49907.51022276879,-0.0016523948149511636,0,-0.0036738817001985558,0,-0.004170114014731108,0,False,False
2021-12-22 10:00:00,48878.12,49167.05,48955.32,49102.12,242.34476845,49825.04331164956,-0.0010474545936137725,0,0.0015854113679791837,1,-0.0036738817001985558,0,True,False
2021-12-22 11:00:00,48915.84,49245.0,49098.67,49002.0,172.49697961,49772.85384115577,-0.0013162987886093935,0,-0.0020798050563508585,0,0.0015854113679791837,0,False,False
2021-12-22 12:00:00,48524.95,49142.58,49007.92,48584.34,444.77081169,49707.337893939024,-0.004111243409542831,0,-0.007182162597079822,0,-0.0020798050563508585,0,False,False
2021-12-22 13:00:00,48450.0,48789.63,48584.95,48583.41,440.90229119,49502.97892861665,-0.0031853607862022404,0,0.0036052743175138957,1,-0.007182162597079822,0,True,False
2021-12-22 14:00:00,48549.62,48965.53,48584.35,48835.37,419.88903635,49345.294080737236,-0.0018359695026521905,0,-0.0006030773076488583,0,0.0036052743175138957,0,False,False
2021-12-22 15:00:00,48660.28,48936.0,48835.33,48913.03,516.03876865,49254.6976257056,-0.0006431247934512996,0,0.007176924963217202,1,-0.0006030773076488583,0,True,False
2021-12-22 16:00:00,48800.0,49287.21,48913.03,49017.93,651.77495184,49223.02070846856,0.0012321313709680037,1,-0.003370854223641362,0,0.007176924963217202,0,False,True
2021-12-22 17:00:00,48701.0,49121.07,49017.93,48716.48,690.3701747,49283.66993645728,-1.2283816702818307e-05,0,-0.005512705647495064,0,-0.003370854223641362,0,False,False
2021-12-22 18:00:00,48527.02,48850.28,48716.49,48575.51,725.12151945,49283.064544889334,-0.002492927527960931,0,0.0026957880282365565,1,-0.005512705647495064,0,True,False
2021-12-22 19:00:00,48507.16,48981.97,48575.36,48948.25,538.97059907,49160.2054366231,-0.00027252198515781423,0,0.003722185939030176,1,0.0026957880282365565,0,True,False
